t_ms,ax,ay,az,gx,gy,gz,roll,pitch,alt_m
0,0.014,0.264,10.186,0.4976,1.6849,0.0901,-0.34,-0.50,111.91
11,-0.260,-0.127,10.185,0.5613,0.8221,0.0207,-0.05,0.46,112.00
20,-0.068,0.109,9.709,-0.2030,-0.2136,0.0414,0.32,0.44,112.04
31,-0.110,0.315,9.781,0.2228,-0.6101,0.0034,-0.28,0.24,111.92
41,-0.034,0.187,9.300,0.0231,0.2329,-0.0973,0.59,-0.25,112.17
50,-0.109,0.226,9.889,-0.2941,0.3512,0.0067,-0.27,0.54,111.90
61,-0.052,0.431,9.642,0.3627,-0.3021,0.0821,0.29,0.13,111.92
70,-0.521,-0.186,9.852,-0.3116,0.2778,0.0787,0.16,0.21,112.17
81,0.008,0.097,9.844,0.1582,-0.1361,-0.0838,-0.05,0.46,112.05
91,-0.093,-0.458,9.827,-0.3768,-0.2131,-0.0762,0.32,0.11,111.97
101,-0.409,-0.207,9.898,0.0811,-0.0117,0.0337,-0.45,0.23,112.03
110,-0.078,-0.088,9.173,0.3921,0.0398,-0.0899,0.41,0.07,112.04
120,0.193,0.156,9.687,-0.5003,-0.3635,0.0090,-0.02,0.24,111.85
131,0.121,-0.127,9.551,0.1888,-0.3655,-0.0070,-0.16,-0.37,112.02
141,0.081,-0.218,10.037,0.4364,0.6917,0.0067,0.22,-0.22,111.87
151,0.232,-0.564,9.941,0.0220,0.7243,0.0141,0.32,0.40,112.08
160,-0.628,0.015,9.635,0.2438,-0.5185,-0.0675,0.23,0.60,112.04
170,-0.025,-0.054,9.935,0.0645,-0.3898,0.0475,0.60,-0.18,112.03
180,-0.005,0.356,9.949,-0.1714,0.4083,-0.0266,0.32,0.19,112.07
191,-0.067,-0.138,9.923,-0.4332,-0.3927,-0.0106,0.39,0.32,111.90
200,-0.007,-0.212,9.601,-0.2889,-0.4563,0.0038,-0.16,-0.21,111.97
211,-0.402,0.271,10.003,0.2876,0.2606,0.0255,0.03,-0.20,111.98
220,0.190,-0.142,9.574,-0.0536,-0.1670,-0.0198,0.17,0.08,112.01
231,-0.213,-0.305,9.717,-0.0378,-0.5697,0.0118,-0.01,-0.40,111.96
241,-0.142,0.366,10.243,0.1067,0.3246,-0.0010,0.09,-0.56,112.03
250,0.148,-0.239,9.870,0.1365,0.7707,-0.0231,0.13,-0.01,112.00
260,0.137,-0.092,9.767,-0.1718,-0.2349,0.0182,0.25,0.32,111.97
271,0.604,-0.179,9.698,-0.3114,-0.3337,0.0477,-0.03,-0.28,111.86
281,0.169,-0.226,10.304,-0.1621,-0.5838,0.0930,-0.10,-0.07,111.99
291,0.269,-0.137,9.818,-0.1866,-0.2029,0.0070,-0.25,-0.94,112.03
301,-0.097,-0.019,10.184,0.5425,0.7505,0.0358,-0.27,-0.35,112.12
310,0.031,-0.157,10.008,0.2138,0.5698,-0.0079,0.35,-0.09,111.95
321,-0.312,-0.057,10.078,-0.1068,-0.4023,0.0296,-0.03,0.27,112.02
330,-0.015,-0.199,10.198,-0.2994,-0.0744,0.0294,0.24,-0.58,112.07
341,0.200,0.048,9.843,-0.7075,0.6890,0.0140,-0.39,0.19,111.90
351,0.035,0.098,9.801,0.0394,0.1106,0.0342,-0.58,0.20,112.13
360,-0.340,0.169,9.914,0.8144,-0.5988,0.0563,-0.31,0.32,111.99
370,-0.140,0.264,9.710,0.5422,-0.3174,-0.0599,0.34,-0.46,112.02
380,-0.003,-0.074,9.643,-0.1936,0.6426,0.1037,0.32,-0.04,111.96
390,-0.221,0.398,9.675,-0.5118,0.1127,0.0473,0.10,0.30,112.02
401,0.553,-0.065,9.947,-0.1242,-0.2888,-0.0339,-0.24,0.06,112.04
411,-0.235,-0.191,9.835,0.1511,0.0047,0.0144,-0.04,0.01,111.99
420,-0.206,-0.266,10.024,-0.0090,0.0280,0.0622,-0.09,0.04,112.06
430,-0.322,-0.014,10.090,-0.5803,-0.1679,0.0595,-0.10,0.03,111.94
440,-0.289,-0.140,9.583,-0.0974,-0.4595,-0.0176,-0.75,-0.15,112.18
450,0.376,-0.074,9.639,0.6191,-0.1816,-0.0165,-0.26,-0.52,112.04
460,-0.009,0.055,10.032,0.6358,0.5006,0.0122,-0.06,-0.31,111.84
470,0.321,0.388,9.867,0.1052,0.0983,-0.0137,0.45,0.05,112.03
480,0.491,-0.069,9.708,-0.0492,-0.6648,0.0703,0.05,-0.23,111.95
491,-0.289,0.449,9.447,-0.1538,0.4005,0.0705,0.42,-0.68,111.90
501,-0.279,0.327,9.635,-0.4184,0.3608,-0.0244,-0.12,0.27,112.02
511,0.438,-0.195,9.749,-0.9058,0.1691,0.0146,-0.08,-0.25,112.02
520,-0.276,-0.014,9.887,0.2104,0.4871,0.0566,-1.17,0.47,111.95
530,-0.494,-0.071,9.937,1.1600,-0.5141,0.0207,0.14,0.29,111.98
540,0.298,0.052,10.011,0.3405,-0.5437,-0.0002,0.16,-0.11,112.11
550,-0.146,-0.165,9.358,-0.2760,-0.1911,-0.0531,0.53,-0.32,112.03
561,0.251,-0.297,9.750,-0.4325,0.5646,0.0747,-0.15,-0.35,112.10
570,-0.069,0.240,10.017,-0.0573,0.4088,-0.0399,0.03,0.35,111.95
581,0.475,0.185,9.699,-0.3432,-0.4445,0.0441,-0.21,0.10,112.06
591,-0.001,-0.264,10.024,-0.0081,0.4915,-0.0064,-0.35,-0.12,111.99
601,-0.070,-0.331,10.183,0.2317,-0.1741,-0.0460,-0.21,0.69,111.95
611,-0.123,0.058,9.926,0.5246,-1.1123,-0.0237,-0.10,-0.29,112.09
621,0.133,0.241,9.828,0.0852,0.5004,-0.0638,0.41,-0.55,111.94
630,0.278,-0.060,9.871,-0.5382,0.4199,-0.0343,0.00,0.29,111.98
640,0.015,-0.147,9.588,0.0384,0.0696,-0.0328,-0.24,-0.07,111.92
651,0.057,-0.112,9.585,0.2751,-0.0016,-0.0743,0.04,0.36,111.89
660,-0.028,-0.332,9.213,-0.2065,0.3030,-0.0255,0.07,-0.05,112.00
671,-0.366,-0.560,9.482,0.2835,-0.0371,-0.0734,-0.20,0.69,111.92
680,0.341,0.165,9.444,-0.3412,-0.5545,0.0135,0.34,-0.09,112.04
691,-0.219,-0.484,9.907,-0.3740,0.2620,-0.0546,-0.57,0.06,111.98
700,0.408,-0.281,9.913,0.6497,0.2065,0.0378,-0.06,0.26,111.92
710,0.250,0.198,9.871,-0.3039,-0.0963,0.0447,0.20,0.29,112.10
720,-0.076,0.154,10.000,-0.1071,-0.5733,-0.0616,-0.40,0.16,112.00
731,-0.520,-0.367,9.967,0.7292,0.0259,-0.0383,0.11,-0.34,111.96
741,0.004,0.140,10.152,0.0313,0.0601,-0.0272,0.39,0.21,111.96
750,-0.004,0.321,9.839,-0.7968,-0.0174,-0.0463,0.14,-0.29,112.11
761,0.439,-0.307,10.059,-0.3066,0.0050,0.0030,-0.51,0.21,111.90
770,0.084,-0.205,9.458,0.7651,-0.2516,0.1105,-0.22,-0.24,112.14
781,0.914,-0.003,9.876,0.2972,-0.0398,-0.0362,0.37,-0.03,112.11
790,0.067,0.285,9.776,-0.3293,-0.3040,0.0069,0.09,-0.29,112.03
800,0.250,-0.088,9.725,0.0390,0.5514,-0.0112,-0.00,-0.34,111.94
811,-0.448,-0.128,9.730,0.1829,0.0924,0.0382,0.13,0.38,111.88
820,0.349,0.010,9.871,-0.2799,-0.2972,0.0739,0.22,-0.27,111.94
830,0.504,-0.401,10.019,-0.2438,-0.1719,0.0368,-0.21,0.08,112.01
840,-0.204,-0.127,10.113,0.2076,0.0160,0.0412,-0.09,-0.48,112.03
851,0.558,-0.104,9.807,-0.0883,0.6238,-0.0068,0.04,0.08,111.95
860,-0.152,-0.637,10.313,-0.0606,-0.1942,-0.0118,-0.16,0.23,111.96
870,0.126,0.363,9.760,0.4938,-0.3078,0.0453,-0.04,-0.12,111.98
880,0.046,-0.070,9.843,-0.2104,0.2826,0.0402,0.39,-0.11,112.01
890,-0.213,-0.590,9.704,0.1796,0.0952,0.0394,-0.29,0.22,111.94
900,-0.329,-0.251,9.589,0.7636,-0.0163,0.0180,0.58,-0.00,112.03
911,-0.198,0.466,9.545,-0.9524,-0.2748,-0.0179,0.56,0.20,111.82
920,0.209,-0.150,9.881,-0.5172,0.0847,0.0513,-0.51,-0.27,111.96
931,0.140,-0.248,9.908,0.5747,0.1583,0.0587,-0.04,0.31,111.93
940,0.307,-0.020,10.020,-0.1721,-0.2787,0.0037,0.10,-0.10,112.01
950,0.087,-0.105,9.980,-0.2472,0.1098,-0.0038,-0.23,-0.00,112.03
961,-0.644,-0.234,9.669,0.1520,-0.0917,0.0270,-0.22,0.03,111.92
971,-0.302,-0.247,9.713,0.3931,-0.1201,-0.0045,-0.07,-0.10,111.81
981,-0.072,0.047,9.938,-0.0662,0.2442,0.0472,0.22,-0.08,111.88
990,-0.039,-0.170,10.228,0.2857,-0.3340,-0.0657,-0.15,0.18,111.88
1000,0.429,0.179,9.679,0.1872,-0.0445,-0.0171,0.55,-0.49,111.88
1011,-0.102,0.274,10.360,-0.5129,0.0955,0.0058,0.09,0.14,111.94
1021,0.372,-0.012,9.756,0.3019,-0.0395,-0.0099,-0.03,-0.37,111.88
1030,0.065,-0.206,9.756,0.2194,0.6075,-0.1128,0.43,0.12,111.95
1040,-0.203,0.123,9.713,-0.2745,0.0208,-0.0210,0.19,0.32,111.96
1051,0.069,0.099,9.642,-0.2130,-0.3774,0.0743,0.11,0.13,112.12
1061,0.223,0.039,9.837,0.3726,-0.2199,0.0098,-0.10,-0.11,111.70
1071,-0.592,0.185,10.135,0.2676,-0.0466,0.0192,0.54,-0.10,111.90
1081,0.167,0.003,9.845,-0.5192,0.0232,0.0291,0.24,-0.16,111.95
1090,0.272,0.003,9.693,-0.6634,-0.0154,-0.0218,-0.06,-0.06,111.90
1100,0.199,-0.372,9.955,0.1586,-0.1552,0.0665,-0.47,-0.19,111.97
1111,0.083,-0.063,9.926,0.1330,0.3129,0.0048,0.11,-0.22,112.02
1121,0.330,-0.231,9.697,-0.5736,0.0557,0.0487,-0.34,0.17,112.02
1130,0.200,0.538,9.840,0.2226,-0.6475,0.1305,-0.51,-0.19,111.88
1140,0.237,0.444,9.618,0.5361,0.5701,0.1186,-0.08,-0.60,111.99
1151,-0.516,-0.002,9.693,0.4453,0.7180,0.0073,0.08,0.49,112.03
1161,-0.400,-0.473,9.721,-0.0359,-0.0533,-0.0395,0.38,0.26,112.00
1171,0.054,-0.361,9.841,-0.1308,-0.1267,-0.0582,0.08,0.40,111.95
1180,0.122,-0.261,9.612,-0.3960,-0.5371,-0.0662,0.24,0.14,112.11
1190,0.240,-0.187,9.511,-0.2381,-0.2472,-0.0218,-0.37,-0.17,111.95
1201,0.010,-0.046,9.938,0.3671,0.0185,0.0230,-0.01,-0.13,111.86
1210,-0.157,0.111,9.548,0.2369,0.1338,0.0577,0.04,-0.14,111.93
1221,0.465,-0.105,9.227,-0.0073,0.1889,0.1401,0.26,0.04,111.91
1230,-0.116,-0.205,9.940,0.0203,0.0880,0.1061,0.03,0.12,111.80
1241,-0.113,-0.109,9.777,-0.1812,0.0743,-0.0799,0.24,0.14,111.89
1250,0.155,-0.060,9.645,-0.1083,-0.4209,0.0906,-0.15,0.20,112.04
1261,0.204,-0.243,9.510,0.2305,-0.1076,-0.0287,0.11,-0.33,111.95
1270,-0.314,0.231,9.650,-0.4234,0.2200,0.0477,0.12,0.10,111.97
1281,-0.245,0.160,9.973,-0.0421,0.1122,0.0201,-0.37,-0.05,111.74
1291,-0.160,0.156,9.907,0.2441,-0.6100,0.0701,0.05,0.21,111.98
1300,0.261,-0.181,10.076,-0.5247,0.0823,-0.0675,-0.10,-0.77,111.90
1310,-0.038,-0.361,9.766,0.3314,0.4662,-0.0307,-0.57,0.31,112.01
1320,-0.107,0.233,9.766,0.4219,-0.1307,-0.0075,0.29,-0.22,112.15
1330,-0.098,-0.168,10.105,-0.4799,-0.1211,-0.0357,-0.11,0.12,111.93
1340,-0.023,-0.027,9.581,-0.0204,0.1109,-0.0335,-0.26,-0.39,111.99
1351,-0.038,0.017,9.961,0.2862,0.8381,-0.0397,-0.11,0.27,111.89
1361,0.090,-0.490,9.677,0.4787,-0.1990,-0.0670,0.04,0.56,111.96
1370,-0.191,0.140,9.876,-0.0684,-0.3043,-0.0111,0.45,0.07,111.95
1381,0.035,-0.475,9.898,-0.2902,-0.3141,-0.0125,-0.05,0.21,112.07
1390,-0.037,-0.070,9.954,0.4219,-0.0860,0.0329,0.14,-0.30,112.00
1400,-0.283,-0.151,9.299,0.0145,0.4688,-0.0440,0.41,0.12,111.86
1411,0.457,-0.162,9.879,-0.1019,-0.0372,0.0201,0.16,0.26,112.07
1421,-0.173,-0.302,9.881,-0.2638,-0.2826,-0.0318,0.32,0.06,111.94
1430,-0.254,-0.380,9.539,-0.0889,-0.3135,0.0031,-0.14,-0.04,111.95
1440,-0.160,-0.313,9.874,0.0892,0.0555,0.0209,0.23,-0.28,111.87
1450,-0.294,0.071,9.651,0.0916,0.3923,0.0816,-0.02,0.02,112.05
1460,0.185,0.646,9.688,-0.2451,0.2052,-0.0167,0.32,0.15,112.00
1470,0.064,-0.302,10.074,-0.4810,-0.5072,0.0500,-0.30,0.28,111.84
1480,-0.411,-0.231,9.702,0.6162,-0.3524,0.0237,-0.23,-0.42,112.13
1491,0.228,0.277,9.892,0.1486,0.4336,-0.0002,0.38,-0.16,111.94
1501,-0.438,-0.140,9.426,-0.4362,0.2069,-0.0295,-0.06,0.07,112.00
1510,-0.360,0.162,9.477,0.0222,0.4584,-0.0518,-0.11,0.07,112.16
1521,-0.344,-0.035,10.063,-0.0893,0.1491,0.0155,0.02,0.61,111.97
1530,0.205,0.135,9.798,0.3172,-0.2763,-0.0980,-0.21,0.22,111.98
1541,-0.042,0.763,10.280,-0.1095,0.4658,-0.0074,0.40,0.32,111.95
1550,0.323,-0.232,10.001,-0.3968,-0.4859,0.0206,-0.37,0.73,111.93
1561,0.759,0.033,9.887,0.3782,-0.6854,0.0128,-0.05,-0.24,111.93
1571,0.062,-0.005,9.432,0.0451,0.1183,0.0376,0.10,-0.04,111.98
1581,-0.387,0.382,9.801,-0.2823,0.3529,0.0194,-0.03,-0.09,112.00
1590,-0.525,-0.160,9.759,-0.1874,-0.0393,0.0364,-0.24,0.37,111.95
1601,0.125,-0.158,10.073,0.3147,0.0913,0.0382,-0.26,-0.12,111.99
1611,-0.235,-0.109,9.873,-0.0518,-0.0298,0.0006,0.13,0.45,111.84
1620,-0.122,-0.108,9.703,0.0344,-0.5023,-0.0100,-0.31,-0.13,112.02
